  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   449.0979905390511249   -63.8968892944117783
  1.00   444.5898693142837601   -63.9512897179589714
  1.50   463.1845396029706308   -63.8733748820269938
  2.00   436.6397993481434696   -63.8874323338372960
  2.50   436.0788939419873600   -63.8783739319451627
  3.00   422.0106606837170489   -63.9719808644209706
  3.50   458.9644687980413664   -63.8850603904011365
  4.00   433.7897797092723522   -63.8887608175541928
  4.50   433.4573997106428465   -63.8098140062711323
  5.00   373.4884222199902979   -63.7944018010907783
  5.50   420.4034796733733970   -63.8333292553601552
  6.00   450.7864948169622039   -63.8737180799461868
  6.50   430.0224173065740274   -63.9193580733405753
  7.00   439.8496759114818815   -63.8692943544134124
  7.50   438.3319707675216250   -63.8548321744219010
  8.00   424.2013742154425131   -63.9094638041809731
  8.50   447.6838783157181751   -63.9218917245477130
  9.00   484.6714803246698011   -63.9083819926378922
  9.50   422.1262044073046127   -63.8765875708959499
 10.00   439.1942931678988202   -63.8380494487197296
 10.50   469.2795160125693883   -63.9535638251017389
 11.00   449.7351937656636665   -64.0689605184017665
 11.50   431.6887129069110642   -63.9758997834016014
 12.00   413.0256199561759445   -63.9127594573191686
 12.50   421.8033847043124069   -63.8381673408690204
 13.00   462.3218661530046916   -63.9358985296679947
 13.50   425.3639177338591821   -63.9321296931666581
