  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50  5575.2277395292549045   -63.9789311445291986
  1.00  5623.2507688590612815   -63.9274094537675523
  1.50  5460.3883127888020681   -63.9110580075019357
  2.00  6073.7338311935145612   -63.9510086064809116
  2.50  5455.0837576257463297   -63.9095349161827642
  3.00  5429.6801769144858554   -63.9064294660834236
  3.50  5423.4298115523961314   -63.9229049941686611
  4.00  5431.5440902472128073   -63.9447934099307957
  4.50  5462.2992533042897776   -63.9346257808167735
  5.00  6037.2755017997878895   -63.9388144072098612
  5.50  5291.1881590616249014   -63.9219394278455724
  6.00  5311.4041273809007180   -63.9163676854393827
  6.50  5443.6585356296163809   -63.9616160214551428
  7.00  5322.8865989327014177   -63.9139477821314017
  7.50  5246.3854822102512117   -63.9124460995096086
  8.00  5270.4087429567625804   -63.8934824180560383
  8.50  5754.9341050524135426   -63.8976731027421323
  9.00  5180.2622966714488939   -63.8994393152562168
  9.50  5274.7422556838355376   -63.9463745589543322
 10.00  5881.6286501407466858   -63.9359434039195946
 10.50  5206.7128683776445541   -63.9211917299896726
 11.00  5274.0360312893426453   -63.9086411671476071
 11.50  5284.1994006426612032   -63.9724623797235523
 12.00  5259.7842100162215502   -63.9057629128738540
 12.50  5236.7573716961433092   -63.9266082460520835
 13.00  5747.5240547562807478   -63.9283335223606457
 13.50  5156.4558466518319619   -63.9299165866796955
