  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   424.1670189571921128   -63.8430189719973384
  1.00   443.6528276285375227   -63.9293649160179669
  1.50   444.3616435052284714   -63.8672955254462806
  2.00   426.5404631534234454   -63.8153912620399808
  2.50   460.3775178617156598   -63.8692233532049372
  3.00   428.9266868134670858   -63.9083584197206562
  3.50   427.9181065021035693   -63.9087457762821458
  4.00   456.4300646158504833   -63.8873218705310038
  4.50   408.6002110312275022   -63.8720325997142808
  5.00   425.9783442285282717   -63.9173107487599736
  5.50   439.9197878501484524   -63.9460187818015413
  6.00   409.8692535825480263   -63.8856152818439043
  6.50   439.6561324233164214   -63.8640384751115278
  7.00   413.4907128853988070   -63.9353709910528067
  7.50   438.6357711114503672   -63.9848518184714621
  8.00   448.8902191362293479   -64.0311421169248831
  8.50   419.3166453351436189   -63.8923883613952199
  9.00   452.1510534519470070   -64.0147220396717387
  9.50   410.8915389765818986   -63.8474724477463980
 10.00   408.7346779281649560   -63.9295765484928964
 10.50   418.1047629918986104   -63.9401413337682030
 11.00   413.7410565533094768   -63.9568513060238715
 11.50   424.5904256902018119   -64.0388889348767805
 12.00   438.9958324302683650   -63.9236072533931861
 12.50   425.8712485275773929   -63.9305889053031109
 13.00   426.0915823851927371   -63.8064561046890617
 13.50   417.6305894860246894   -63.8898327553443934
