  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   449.7257214448061404   -63.9884674564845497
  1.00   446.1978953956190139   -63.9709118798106005
  1.50   458.6714072065128107   -63.9756961155173869
  2.00   440.1592890927888106   -63.8960428249942538
  2.50   413.7158263394628648   -63.7849965650965558
  3.00   437.6750048259322057   -63.9512207428030024
  3.50   497.4565765575659952   -63.9962743336025994
  4.00   499.1840470057865105   -63.9788237905285868
  4.50   474.1438685323112168   -63.9807863241296246
  5.00   421.8121849281067739   -63.8467717749812351
  5.50   425.6922186093587470   -63.8164676687074888
  6.00   421.5692557934465299   -63.8189833613985300
  6.50   415.1199129399834646   -63.9000140814064252
  7.00   419.9988747159084141   -63.8139832015624364
  7.50   468.8672727720264675   -64.0068528791267966
  8.00   423.8133509053360513   -63.9110898558706992
  8.50   419.8418617040361482   -63.9661507599784471
  9.00   486.2335748013597367   -63.9999275740768070
  9.50   428.4879713561912240   -63.9616935350609168
 10.00   475.8315463536207517   -63.9029857575144788
 10.50   396.2509426447118130   -63.9225905188642258
 11.00   434.1393731627284751   -63.8970366404435310
 11.50   456.0218269328137239   -63.9750945010085346
 12.00   489.2677328424958318   -63.9632650421232540
 12.50   422.9769003382206165   -63.8488354675947818
 13.00   425.6850996221227774   -63.8886676022862474
 13.50   421.7688547222397801   -63.8315928796596168
