  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   461.6099711206520055   -63.9090738751204697
  1.00   447.8530071236446588   -64.0889947673504423
  1.50   452.4275510990190696   -63.8655400729439435
  2.00   427.6457764375960551   -63.7882544297494576
  2.50   443.3757863760748705   -63.8691883898840160
  3.00   445.9387654843474138   -63.9774109795287700
  3.50   451.6127773776714776   -64.0496211082874964
  4.00   447.5017260245452348   -63.8973793718662364
  4.50   474.1566938704771133   -63.8978144871390299
  5.00   474.6673776098718349   -63.8914040152416547
  5.50   454.3663417483311946   -63.9060395280915685
  6.00   424.1419090966654721   -63.8249459513027659
  6.50   408.7212375065728907   -63.8232237771064064
  7.00   480.4335388716300486   -63.9241299961443730
  7.50   428.6007857278327151   -63.8758876284946098
  8.00   466.9854252279717457   -63.9977555748776226
  8.50   478.7045799768501411   -63.9516254437581537
  9.00   422.7327718166141040   -63.9783289244687055
  9.50   425.4695836589061742   -63.8955327323572675
 10.00   419.6244925360173852   -63.9288306980352274
 10.50   421.1298679594115129   -63.8975319220834734
 11.00   413.4447875775587136   -63.9594345834067894
 11.50   408.4335391731185609   -63.8836037562310821
 12.00   446.7599063619534263   -63.9340369240022000
 12.50   429.4283163159319656   -63.9570821836127266
 13.00   427.2550031035698339   -63.8679763861999135
 13.50   457.3409333026695549   -63.9583404772675550
