  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   435.1320909877047143   -63.8654574952289806
  1.00   436.6494335957996213   -63.9138260452319145
  1.50   434.9360183728261404   -63.8651326562837625
  2.00   444.5951113935657304   -63.8985837746414020
  2.50   433.4293954174494274   -63.9417264222706621
  3.00   438.4025416242432698   -63.9686088609182875
  3.50   422.9799664103594523   -63.9503684735192408
  4.00   440.2427014718189753   -63.9294472847109745
  4.50   414.8549250118164764   -63.8999757563097148
  5.00   428.5170053460674922   -63.8438485812240515
  5.50   427.3246464257351818   -63.8124409123634990
  6.00   423.1993287186885482   -63.8356682464745688
  6.50   404.7250259058292272   -63.8230376497380831
  7.00   417.8414054271786426   -63.8891195397870888
  7.50   424.6462413647936955   -63.8629643333563592
  8.00   413.6089185147703802   -63.8834074501988169
  8.50   424.6447576077464987   -63.8600403060016717
  9.00   419.1773688712702892   -63.9706013884204410
  9.50   423.4268178227069939   -63.9099380277397273
 10.00   425.5449918977847688   -63.9313663964194205
 10.50   422.1718450495375237   -63.9914685647922283
 11.00   436.5758288007552892   -63.9258175700190066
 11.50   410.0760729881270663   -63.8995795987979562
 12.00   420.3588506699777554   -63.9694764079633131
 12.50   430.5066224517213413   -63.9171174487163114
 13.00   410.8134582563174604   -63.8870269653574780
 13.50   413.0397052252462800   -63.8921209419069740
