  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   442.5378844600853085   -63.9215395562044293
  1.00   459.4509647809767330   -64.0627844753766738
  1.50   424.1649158669927147   -63.8703196027753393
  2.00   445.1362977734678452   -63.9246625067495913
  2.50   433.7883293819680830   -63.8921386191681009
  3.00   457.1298403895245883   -63.9696977553370942
  3.50   435.2986281236408104   -63.9307204758897569
  4.00   478.1098133115876863   -63.8836800668475888
  4.50   467.0348231242812176   -63.8134809759066428
  5.00   449.2402661633063303   -63.9310879835969104
  5.50   445.7097336687584175   -63.9062463705059542
  6.00   438.4869212999748243   -63.9170473214469297
  6.50   419.0453921723105850   -63.9472016283546338
  7.00   495.6986924770636165   -63.8778296070945331
  7.50   445.8266698472205576   -63.8101931565242495
  8.00   446.8618366271881541   -63.9477609059799548
  8.50   437.7402765242648570   -63.8754751294791845
  9.00   422.9552559403919076   -64.0293595890256029
  9.50   426.6103496448884584   -63.8313662530933499
 10.00   410.0045093395212916   -63.8755235902497560
 10.50   469.8718736525939335   -63.8569699047534414
 11.00   450.5289653540411337   -63.9812512945171719
 11.50   418.2260149569544296   -63.9880893825811228
 12.00   457.7925947259143982   -64.0016856987391662
 12.50   421.3730407011873922   -63.9681694498362745
 13.00   430.3962812750390299   -63.9130970854497207
 13.50   450.1641769410833263   -63.8823055430823459
