  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   459.8882827386274812   -63.9231582849568696
  1.00   456.7052123392377325   -64.2536716032454649
  1.50   465.7533535793248234   -63.9443703413542650
  2.00   426.1591713951700058   -64.0098017517553899
  2.50   463.9444669018311629   -63.9892718436699255
  3.00   423.3612728971248771   -63.8660763594342455
  3.50   431.0648418855205364   -63.9076139588985583
  4.00   443.1928908142090222   -63.9509747820574148
  4.50   411.3164903229636593   -63.8893098329565845
  5.00   416.1319299584383771   -63.9275924287302928
  5.50   444.0560496900890826   -63.9011573745247858
  6.00   427.3399374753311122   -63.8398921683720033
  6.50   395.4878189283575125   -63.7813126045690524
  7.00   422.8671565114285613   -63.8976683382070050
  7.50   422.6197610475288116   -63.8093588548644775
  8.00   418.9309526004549298   -63.8973349464911990
  8.50   444.0652852013874963   -63.9409840237078697
  9.00   422.9650654484846086   -63.9620514579380028
  9.50   421.0703174850685855   -64.0502294013431168
 10.00   442.1727460292822798   -64.0337968248592944
 10.50   439.2048911984206825   -63.9735654293824894
 11.00   413.5422589228825245   -63.8557466849827193
 11.50   412.8933909033579539   -63.8952324004097392
 12.00   417.7377762245301369   -63.8264090723048696
 12.50   416.2929662774537292   -63.9026497311484007
 13.00   407.2959669410519155   -63.9127249672732205
 13.50   436.3981361940443549   -63.9038513470303400
