  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   448.3831612860760742   -63.8890044679723133
  1.00   439.4573215160531277   -63.9893557117253167
  1.50   440.7789495189902027   -63.9500093202022768
  2.00   427.6308474254263388   -63.9102489788181884
  2.50   442.2467572583376523   -63.9025030055496472
  3.00   427.2671482149281701   -63.9374389146742175
  3.50   452.7710088643123072   -63.9575653171178118
  4.00   433.7273003894169960   -63.9592798555743229
  4.50   429.1812193341575608   -64.0158342172808119
  5.00   430.9887946796155234   -63.9049390857711899
  5.50   485.4927190831700727   -63.9144275565240605
  6.00   405.8924220013643662   -63.8289516183422236
  6.50   423.2446742592117630   -63.8833594011376391
  7.00   423.8677939575833875   -63.9580532727983098
  7.50   466.7025076005958226   -63.9540936430014000
  8.00   412.5387069267163724   -64.0097946267999305
  8.50   447.5072486530119704   -63.9714045012998156
  9.00   424.1241303732825259   -64.0285077818495125
  9.50   403.2510091859021486   -63.8397171020771452
 10.00   455.6419333961001712   -64.0117205611290956
 10.50   473.1475085783467875   -64.0445509073175145
 11.00   419.3955429055306467   -63.9093574425076554
 11.50   430.0058762575824289   -63.8860909648678756
 12.00   420.1225019889561736   -63.9412505756957046
 12.50   436.7103721352070806   -63.9532225267805359
 13.00   433.7231665019131128   -63.9624775661457079
 13.50   429.8763491106647052   -63.9373689188996508
