  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   440.2518276015241554   -63.8570216362874135
  1.00   458.1453122075417923   -63.9398725752951407
  1.50   450.2921085139669799   -63.9945021783159689
  2.00   432.4239276264949012   -63.8872592009801394
  2.50   484.9963585153348049   -63.8870149835947032
  3.00   438.9336085316727463   -64.0199256443464861
  3.50   457.6568386188613431   -64.0243243621695939
  4.00   501.0201844757258414   -63.9270138714669258
  4.50   426.2124981193968551   -63.9365073437379436
  5.00   430.5802354759326818   -63.9421570566667086
  5.50   419.1000774784782834   -63.9076613910452096
  6.00   428.2425540912461770   -63.8042573840365179
  6.50   414.3043396166355592   -63.9104848649703428
  7.00   423.8159861511351210   -63.8654655632536361
  7.50   438.3678856766515537   -63.9238852587149395
  8.00   414.5418234402574171   -63.8999671538312128
  8.50   432.2168249180137423   -64.0361496270969042
  9.00   435.7555448662351409   -63.8774440478500765
  9.50   398.6780854200892463   -63.8790224052595903
 10.00   413.5719677061002812   -63.7852412982418215
 10.50   410.5959943756772645   -63.8618833676202797
 11.00   410.5355252029867188   -63.8853004210212916
 11.50   412.3810799742040558   -63.8704946420045303
 12.00   420.4851807411197342   -63.9055383327854969
 12.50   410.8929775868450633   -63.9035695425378378
 13.00   428.3350081921498713   -63.8752436519610924
 13.50   440.2287381031896984   -63.8510988748106740
