  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50  5606.8706314548635419   -63.9714356993546005
  1.00  5567.1371985160058102   -63.9332271854384828
  1.50  5434.0618433445670235   -63.8991423979016275
  2.00  5496.1147152731728056   -63.9414078538125494
  2.50  5537.6535325254626514   -63.9286191736980243
  3.00  5369.3027829539933009   -63.8811090347624457
  3.50  5459.7400113654457527   -63.9186463999403145
  4.00  5444.6827301086341322   -63.9598133532832804
  4.50  5437.6128069920114285   -63.9146316092931528
  5.00  5386.1002271334227771   -63.9207008178104843
  5.50  5336.3127173549355575   -63.8934273531133243
  6.00  5826.9667211679352476   -63.9109387955907664
  6.50  5268.3295154670795455   -63.9114128057569104
  7.00  5265.5816011170063575   -63.8944323609166247
  7.50  5830.3365761344439306   -63.9041663880108644
  8.00  5219.6716286194714485   -63.8951204992797130
  8.50  5300.3186430160512828   -63.8959909321451676
  9.00  5899.2705448553388123   -63.9140332876330035
  9.50  5169.8053078852899489   -63.9415104096172655
 10.00  5366.3860504470594606   -63.9523106188745203
 10.50  5854.1435307830224701   -63.9292731525854379
 11.00  5156.9103968401177553   -63.9407114227665119
 11.50  5799.1383548203657483   -63.8882206474151531
 12.00  5155.0671229740619310   -63.8946517669548228
 12.50  5201.0397009239877661   -63.8920026464989235
 13.00  5220.8469740282798739   -63.8835336447025099
 13.50  5806.9611836420062900   -63.8935350128289912
