  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   516.9092922099330281   -63.9707232229517757
  1.00   432.1371728185083612   -64.1606463578426798
  1.50   485.3919531164661976   -64.0616476081058579
  2.00   419.9608995003304699   -63.8758975829489302
  2.50   427.9225445215545278   -63.9056686046800735
  3.00   446.3975460085214877   -64.0296957122209278
  3.50   434.9464311852800051   -63.9539603586915177
  4.00   503.7690209626758815   -64.0025380696933013
  4.50   476.7305231355603610   -63.9160706216017900
  5.00   427.4035011978936041   -64.0249720889663791
  5.50   448.3725298337213303   -63.9542425680605930
  6.00   400.1572345278809735   -63.8712716976352013
  6.50   420.4439958242529656   -64.0282802835624523
  7.00   430.8261394847608017   -63.9448333609264452
  7.50   412.4869014441062518   -63.8419712391130005
  8.00   414.0207068188370840   -63.9577433415790466
  8.50   423.5940862640101159   -63.9850007141641086
  9.00   430.5199381968402008   -63.8964128864051446
  9.50   442.4709455997347050   -63.9201106036301141
 10.00   462.1730577332839403   -63.9799560877460891
 10.50   471.4485702291554503   -63.8888249915517576
 11.00   477.5622256596124089   -63.9159678306899153
 11.50   442.8877633801438378   -63.9238767578813594
 12.00   479.9973876019710133   -63.9290021423474641
 12.50   428.4646165517941085   -63.9653089575058473
 13.00   417.6931513820557029   -63.9201021761488164
 13.50   422.1278030934594199   -63.9216704517189669
