  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   438.5788570043524146   -63.9603601047072630
  1.00   458.3782981470710638   -64.0186069011172947
  1.50   465.1962563308980521   -64.0044607040863411
  2.00   430.2145799102785304   -63.9012488881935496
  2.50   430.0456291465211507   -63.9358970944738445
  3.00   450.8524571067513307   -63.9239291859423062
  3.50   440.0789126336935055   -63.9416536612728095
  4.00   446.6587507352771240   -63.9548758035096654
  4.50   407.5503542140083937   -63.8468044586467229
  5.00   480.9175836187109780   -63.8850652698899637
  5.50   444.0016695453765010   -63.9022798879867224
  6.00   457.8476204207140086   -63.8871537207996454
  6.50   465.7811060603978603   -63.8651189858633330
  7.00   462.4185614127755457   -63.9276091224471230
  7.50   468.0684616330470362   -63.9212714095178285
  8.00   457.6959813440954576   -63.9668983841638976
  8.50   469.5864248277341630   -63.9436531650903888
  9.00   457.4159021307493731   -63.8687564939071990
  9.50   459.3844497378612459   -63.9260632517930247
 10.00   414.6801410994419257   -63.8883801418307087
 10.50   420.6746803202315732   -63.9414549403369534
 11.00   424.8638773939669591   -63.9472534827543839
 11.50   418.5031630063951980   -64.0785029385558431
 12.00   437.3241612878478008   -64.1531254212418247
 12.50   399.4605915978519306   -63.9067508222773100
 13.00   413.1318424184864853   -63.8959875001131863
 13.50   477.9089214651422708   -63.9750603331868675
