  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   446.4502021621827907   -63.8776563701026134
  1.00   443.2488424845352597   -63.9251488443942151
  1.50   458.6280486168950574   -63.8862291120577339
  2.00   432.2109044859435016   -63.8642020882251416
  2.50   425.0473842365659038   -63.8698106017476164
  3.00   420.1880258416816218   -63.9864873415013733
  3.50   443.3193753432989297   -63.9661640940724752
  4.00   424.1635259643956033   -63.8373518385482726
  4.50   498.9404063218432839   -63.9559726664214026
  5.00   433.3874948852829334   -64.0151648279743029
  5.50   438.2650212285275302   -63.8627319909014375
  6.00   426.3003731100267260   -63.8173297076259303
  6.50   411.9602244965041109   -63.7755509262192675
  7.00   417.8520877075591216   -63.8771265016725138
  7.50   436.4713400722069423   -63.8442156318943148
  8.00   402.4971645941959650   -63.8874713882552996
  8.50   438.7290055284310597   -63.9048526401098371
  9.00   425.6678547784770217   -63.8677254531150140
  9.50   423.6934189668740487   -63.8461669296456975
 10.00   456.8553528590314272   -63.8794095442443748
 10.50   453.8926437972578469   -63.7922709931593914
 11.00   465.7661539051700856   -63.9136616248519402
 11.50   427.9952627923572663   -64.0375945053768731
 12.00   419.5592937485794209   -63.8428936213453682
 12.50   421.9722205958705104   -63.8013753097278524
 13.00   423.3533669887096949   -63.9774641651553040
 13.50   415.3637518254471956   -63.9344691589296090
