  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   425.6065962605769641   -63.8472828052835055
  1.00   455.6778764747647301   -63.9285706355812522
  1.50   446.9519947041732166   -63.8777363042113464
  2.00   441.0582614899329883   -63.8931122796403059
  2.50   437.7545395099745065   -63.8587415359546497
  3.00   436.3396533886623843   -63.9129488344021937
  3.50   446.7485895799615037   -63.9696465293576608
  4.00   436.5756847873297488   -63.9198731283565706
  4.50   431.2080737914361634   -63.8877530690427733
  5.00   450.8603174889940988   -63.9276985545049001
  5.50   431.2549717822465709   -63.8234266076553212
  6.00   413.4834469881893710   -63.8332387773966161
  6.50   444.1351818492735219   -63.9008989172123876
  7.00   424.0351893583545575   -63.9442356074689471
  7.50   427.5300746242141940   -63.9346138414726042
  8.00   421.5208208247291850   -64.0336446557675885
  8.50   417.7156550470597267   -63.9038985387432561
  9.00   408.6591349919999629   -63.9334360824141612
  9.50   410.4371557684650043   -63.7794275039060352
 10.00   408.2056020283078510   -63.8344189287036841
 10.50   438.8784616706817587   -63.8982274047981207
 11.00   425.4060086155009230   -63.9674480151135398
 11.50   412.6348496067794258   -63.9380563255546690
 12.00   444.5199345478044961   -63.8955010357839086
 12.50   415.9262896896682378   -63.8819118771417749
 13.00   425.1226555879320586   -63.8050622512000274
 13.50   421.8313418251614166   -63.9796505552328085
