  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   446.3843372193833829   -63.9047498818078523
  1.00   440.8445309082233052   -64.0058699487826175
  1.50   446.0059625808077612   -63.8881256300886804
  2.00   415.6424029128755251   -63.9157572327304422
  2.50   517.2724752862218338   -63.9559361707855913
  3.00   430.8415155593193049   -63.9623929166547995
  3.50   428.2337174829859237   -63.9000910658501837
  4.00   430.8459687356033783   -63.9437503313328506
  4.50   438.5240141075705651   -63.9189298650109805
  5.00   423.8765730611630715   -63.9561984180997456
  5.50   449.6957234414757067   -64.0700153755661148
  6.00   412.0817252076147383   -63.8901965917990609
  6.50   414.3001461434823227   -63.8710609091472037
  7.00   442.6992020171259128   -64.0143637174112001
  7.50   418.3230457604099684   -63.9396359643624876
  8.00   411.1518127817193999   -63.8791767456678343
  8.50   430.7455547711011263   -63.8994478311784206
  9.00   425.2053244267787591   -63.9030788844024897
  9.50   409.5471720206664941   -63.8612070176773940
 10.00   431.4620478720514143   -63.9913411047770069
 10.50   425.2932868009695540   -63.9831110166340835
 11.00   436.7947914977745540   -64.0548177303666790
 11.50   429.4296569634272487   -64.0113686184468094
 12.00   436.2582872527527229   -64.0475590504328522
 12.50   398.2755643587994427   -63.8894422492962804
 13.00   478.1831602420925265   -63.9436623734192153
 13.50   407.5666634823863888   -63.8701622405096003
