  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50  5658.2630076916029793   -63.9867051210006252
  1.00  5544.5200167536922891   -63.9210542571216394
  1.50  5436.4213872109548902   -63.8946564486069519
  2.00  6028.4666793476553721   -63.9257009133403500
  2.50  5473.5496240202010085   -63.9116913998663421
  3.00  5377.6004143947702687   -63.9093251851272726
  3.50  5444.3287642965560735   -63.9149183666683314
  4.00  5379.5700364594631537   -63.9353255758223185
  4.50  5955.2593721406901750   -63.9345375252663075
  5.00  5334.0013356785602809   -63.9084916958967142
  5.50  5303.3351439950620261   -63.8930906026933627
  6.00  5890.3655950903812482   -63.9223781750390430
  6.50  5269.6613551806094620   -63.9234004256914972
  7.00  5271.9568976094487880   -63.9464576724837457
  7.50  5330.3680332923877359   -63.9351879217693266
  8.00  5300.8993521671318376   -63.9159501685337830
  8.50  5251.8132362761189142   -63.8889358524506719
  9.00  5824.5080263920035577   -63.9069489990766044
  9.50  5249.9545534590524767   -63.9403124167995429
 10.00  5213.4900617053062888   -63.9026636295243406
 10.50  5226.6915176132406486   -63.9100856480105790
 11.00  5800.2929474186330481   -63.9173718859195361
 11.50  5165.6141102389756270   -63.9015011413230951
 12.00  5774.7342796975826786   -63.8757945530618088
 12.50  5196.9652006338774299   -63.9025029765127073
 13.00  5161.0927930696216208   -63.9065772279925000
 13.50  5742.0587521625930094   -63.9628764414709110
