  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   451.2520620775457019   -63.8418231301315089
  1.00   453.1994890990864064   -63.9806079648080868
  1.50   468.4271273980250498   -63.8900699963973437
  2.00   417.0212210961606161   -63.8212446682825032
  2.50   444.3331198011833294   -63.8565585107939313
  3.00   451.0444801532615884   -63.8064129962227824
  3.50   451.6433099354356955   -63.9495281946841203
  4.00   403.7158209336429309   -63.8572659033485905
  4.50   437.5044342684084313   -63.8935112030461880
  5.00   447.1525993671655215   -63.8975280322562682
  5.50   434.2852140636609874   -63.8014857733784595
  6.00   405.7586300788377685   -63.7734099324221759
  6.50   426.8005326175766641   -63.7575859889507797
  7.00   462.8871713468637381   -63.8565729951668430
  7.50   458.9828986908768798   -63.8866728588008925
  8.00   433.7143333135911689   -63.9159404652681218
  8.50   435.4835050410657686   -63.8554962335357956
  9.00   420.5685743910993324   -63.8106514826284013
  9.50   414.6260655553680863   -63.8225999592298052
 10.00   438.6244542854165047   -63.9710750456439712
 10.50   416.3243358643502461   -63.8853452180076431
 11.00   409.9476878436966558   -63.8290196109198220
 11.50   429.9612678812255808   -63.9212286060391364
 12.00   468.8626112652721076   -63.8818669850261074
 12.50   488.7919626152559545   -63.9428386952400416
 13.00   422.6219611677371972   -63.8974965187318702
 13.50   412.7172978540642134   -63.9725577014865223
