  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   432.7360563653858776   -63.9778001026247409
  1.00   456.5141604657727612   -63.9697492884564411
  1.50   445.4358125596383502   -63.9307768513782833
  2.00   428.7992974139546050   -63.9154962876518056
  2.50   464.4041456273589574   -63.8718512382535266
  3.00   429.4070665967038849   -63.8989524077513664
  3.50   427.6360887129293360   -63.9704464002920332
  4.00   447.7874372409308990   -63.8722013059353770
  4.50   504.3316802137512695   -63.9513293070009539
  5.00   453.6973606517846633   -64.0019980363107379
  5.50   427.5284003932372912   -63.9465968928545578
  6.00   415.5397381921198416   -63.8674486348364709
  6.50   423.3619560467208203   -63.8506078895548228
  7.00   423.9634622843022953   -63.8566460168407417
  7.50   418.8156195441275713   -63.9564367694088105
  8.00   442.3610151695477271   -64.0745436875385082
  8.50   413.5123519584943779   -63.9212336587431906
  9.00   429.4645477773641460   -63.8962942513845036
  9.50   420.1576734519967999   -63.9253195369777956
 10.00   423.7855558448193278   -63.9763097487395385
 10.50   423.3331595878826192   -63.8736948177338633
 11.00   426.9772285317770866   -64.0200130429649761
 11.50   452.3060355559092613   -63.9035777687085726
 12.00   458.9687506402490271   -63.8572112992773739
 12.50   457.7758076534620386   -63.8201033991874880
 13.00   420.8712795063958083   -63.9717821637086388
 13.50   403.1966147821159439   -63.9047114090783310
