  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50  5591.6352983007764124   -63.9783869130976655
  1.00  5585.9040869878772355   -63.9421605214284341
  1.50  5518.4794784449768486   -63.9093838019984730
  2.00  5560.1972042238230642   -63.9557643342478173
  2.50  5558.3733562305378655   -63.9154078459250456
  3.00  5332.0557346668319951   -63.8879602710952099
  3.50  5432.9412086017609909   -63.9442582304823901
  4.00  6030.1438639033649451   -63.9402256881365361
  4.50  5312.5218110045216235   -63.9342535468818625
  5.00  5445.9650795722609473   -63.9241390657331721
  5.50  5372.5548125356008313   -63.9160576338004631
  6.00  5905.3817924971735920   -63.9217968712608950
  6.50  5247.2258836928658638   -63.9074420575163344
  7.00  5300.6507921218126285   -63.8981974841253901
  7.50  5889.9490094843085899   -63.9243535980418613
  8.00  5193.5800827386410674   -63.9248393192294770
  8.50  5285.9848032651689209   -63.9148997777916890
  9.00  5301.1168533112049772   -63.9408301351773787
  9.50  5787.3417089135300557   -63.9399159324504041
 10.00  5715.3580205936896164   -63.9270583826630769
 10.50  5240.9467513480994967   -63.9347498793160440
 11.00  5287.7822529687746282   -63.9320081635953414
 11.50  5836.8520644435557188   -63.8928147817434251
 12.00  5192.5658518517375342   -63.9273888499073735
 12.50  5188.2775821674404142   -63.8952344409904782
 13.00  5163.6262255671317689   -63.9047534915761304
 13.50  5210.0786382894148119   -63.9397406028060402
