  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   464.5985808719191255   -63.9881029303790001
  1.00   454.9130978573662105   -64.0301587306455815
  1.50   460.3949251244289371   -63.9257419170216394
  2.00   424.4294096264299014   -63.7723996353492879
  2.50   423.0744830693623157   -63.8490946567195152
  3.00   427.2930670367987318   -63.8956015246460396
  3.50   443.9854989825617508   -63.8739612982085561
  4.00   445.8258937803741446   -63.8519843845566513
  4.50   431.1309357259718240   -63.8422859216597232
  5.00   428.2370471738075253   -63.8029192129895080
  5.50   493.3376832417532114   -63.8777673785010194
  6.00   469.4136836935458064   -63.8018894548884390
  6.50   480.2937265317801803   -63.9871319716502285
  7.00   430.9553043147724907   -63.8054415483871935
  7.50   419.2109026699228025   -63.8704633582012846
  8.00   446.2398902572560360   -63.8314637919503411
  8.50   444.6660141125231576   -63.9402885226384896
  9.00   377.2370460013022466   -63.8324882794548216
  9.50   432.6734536842359375   -63.8777871481199213
 10.00   421.9145023118746849   -63.8963983408240566
 10.50   434.3432643650794489   -63.8298711525917071
 11.00   412.8507545748594794   -63.8694435733257322
 11.50   442.9384883257374668   -63.9080784484331090
 12.00   464.9077150344862730   -63.7777239903433681
 12.50   437.6070157263840201   -63.8158814909296339
 13.00   442.4285208487420391   -63.8591818186563529
 13.50   420.4556329738541649   -63.8883267575770191
