  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   426.7450659899421908   -63.8089046790994416
  1.00   446.3346309465133004   -63.9757204770633905
  1.50   450.7832309187415376   -63.9637871051709084
  2.00   435.6085752637881683   -63.9102618919269077
  2.50   436.7259192389454370   -63.9399402657650313
  3.00   434.4708011286094234   -63.9202377383885221
  3.50   430.9672491974870354   -63.9082462719634137
  4.00   425.4330782320757862   -63.8052109703113786
  4.50   414.1296533194639551   -63.9817494898616559
  5.00   434.6946432421523809   -63.8849006069363199
  5.50   427.3534010755769827   -63.8571429491026521
  6.00   402.5999929782875597   -63.7900047509354522
  6.50   421.0063822132212294   -63.8636642102014633
  7.00   424.9185287682207672   -63.9206253699862543
  7.50   418.8976055575750479   -63.8217218593802684
  8.00   422.0113963626911300   -64.0441907525134297
  8.50   426.0539549695969868   -63.9875063297912448
  9.00   416.8521196827820177   -63.8698766725579148
  9.50   414.9461449202403287   -63.7476907588917356
 10.00   419.9920055525552129   -63.7922693057819288
 10.50   452.1230505525363697   -63.8508302746051228
 11.00   462.9036332304264079   -63.8183324950567084
 11.50   469.1746759062169758   -63.8770787474250312
 12.00   416.9655544843038797   -63.7588054438355130
 12.50   420.7473578718860381   -63.7976238990255951
 13.00   409.6155069149035626   -63.8476465289835318
 13.50   410.3972887174870721   -63.8814953289893879
