  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50  5661.5390030175731226   -63.9771222039892393
  1.00  5687.5077977242390261   -63.9413630647453033
  1.50  5395.6019076131360634   -63.9132944718375882
  2.00  6102.3483680009012460   -63.9472998767364800
  2.50  5985.3774996298416227   -63.9144322580620639
  3.00  5315.6733956823300105   -63.9010757838276788
  3.50  5360.6982110926492169   -63.9263359577883676
  4.00  5425.9241422937648167   -63.9580120774259200
  4.50  5995.4146130763037945   -63.9275082762188731
  5.00  5296.0127127515834218   -63.9268753480261296
  5.50  5430.4112342626785903   -63.9113314591797206
  6.00  5882.0211516999643209   -63.9091117084418556
  6.50  5205.9055537605954669   -63.9214746510935754
  7.00  5364.6117162271129928   -63.9347811625936799
  7.50  5799.2192449389394824   -63.9233682740693752
  8.00  5292.1249818343530933   -63.9248435826964396
  8.50  5262.6524523184398276   -63.8997032638872327
  9.00  5275.0926596071140011   -63.9149551752595642
  9.50  5882.1911793706158278   -63.9560245399539866
 10.00  5300.6801021861047047   -63.9509399448132996
 10.50  5227.8677243721722334   -63.9426492412573140
 11.00  5763.2302512308997393   -63.9112064982518575
 11.50  5667.9188749795994227   -63.8984390340082484
 12.00  5627.0787943142659060   -63.9012039142634762
 12.50  5114.9835566072597430   -63.9208711128335239
 13.00  5200.2633552625629818   -63.9240523265913509
 13.50  5156.2097382765259681   -63.9420629112438661
