  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   450.1026177324748687   -63.8819241439558212
  1.00   458.7908858967535934   -64.0594206562718682
  1.50   453.8432062888241489   -63.8732784722201288
  2.00   488.8862397108760547   -63.9349461569008355
  2.50   484.0701277440376771   -63.8567616221393237
  3.00   433.0683826619908245   -63.9945121940547921
  3.50   446.9628389487091908   -63.8996718090883462
  4.00   447.1622259239783261   -63.8891410070771215
  4.50   451.0435670003547557   -63.9889890637366108
  5.00   427.6937892244397972   -63.8935168161756764
  5.50   437.5450685419210117   -63.9603348815710149
  6.00   424.7901609543870904   -63.7982295688900862
  6.50   429.9617789855182082   -63.8797233193157012
  7.00   441.9212148384893908   -63.8389145713436932
  7.50   432.1277754102935660   -63.9951505941281837
  8.00   435.6231400542903884   -63.9532621371310412
  8.50   415.5274256447305561   -63.9641565355900354
  9.00   428.1413710076861321   -63.8042495135818228
  9.50   411.5590900815960254   -63.8729847331814398
 10.00   410.3539298716066241   -63.9104120533383409
 10.50   437.0910146049163814   -63.9654237145198294
 11.00   427.4129912015433774   -63.9331038956413806
 11.50   435.6456070359386672   -64.0015775199467498
 12.00   428.5616317211342334   -63.8701840378807049
 12.50   413.4258534984762150   -63.8675155165658452
 13.00   423.8505458921754325   -63.8565333744281460
 13.50   426.6385503980560543   -63.9535955946901993
