  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   499.8116924219307293   -63.8713967972218128
  1.00   439.8253225715438930   -63.9296871888579119
  1.50   446.5665745289039137   -63.8837103319685298
  2.00   433.4312065482109801   -63.8893820476809253
  2.50   424.9456816961254049   -63.8822232036216278
  3.00   430.6637714739619582   -63.9309203780645419
  3.50   454.9754565911960640   -63.9203304824111243
  4.00   440.4367188003525371   -63.9634854412597278
  4.50   440.4637147782415809   -63.8814038597713534
  5.00   430.2109887234815915   -63.8915796414163211
  5.50   450.6320044882030516   -63.8475257193964865
  6.00   430.0432261881311433   -63.8549369026678590
  6.50   426.0522445404808423   -63.8244307783699298
  7.00   440.6076708647849500   -63.9452557580791776
  7.50   424.7846851960898675   -63.8239138400680730
  8.00   421.5172342092051849   -63.9480688047638353
  8.50   441.6718244433097880   -63.9503088418214247
  9.00   437.0222555998881262   -63.9298267805031060
  9.50   434.9273647208100328   -63.8569722751688431
 10.00   432.5114848752246530   -63.8890907002588335
 10.50   426.3965887352183586   -63.9596387065862118
 11.00   426.5462279118921174   -63.8662967173366667
 11.50   443.4267674313362591   -63.8432488903277857
 12.00   424.8101057114348578   -63.7527322189972807
 12.50   410.7209108357051264   -63.8274837832209414
 13.00   430.2622732722879846   -63.8702519520625387
 13.50   414.7707055565584255   -63.8114791242594066
