  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   457.7094696562219838   -63.8812292612333508
  1.00   457.5408724390356952   -64.0174361808035854
  1.50   433.9033689564141696   -63.8473404825614921
  2.00   443.7812536775659851   -63.8888050530426170
  2.50   421.9187874178857101   -63.8204707488052989
  3.00   367.8670627965488507   -63.8525155061530185
  3.50   454.7363969273176281   -63.9862937514163264
  4.00   445.6689351129804777   -63.9242722177192348
  4.50   434.5585864067235775   -63.8706011571539136
  5.00   426.8152859097855298   -63.9532661069731887
  5.50   433.0986939041258097   -63.9164277878680238
  6.00   420.5607566715733583   -63.8851191991030092
  6.50   433.8821277500659335   -63.9850283259353247
  7.00   440.3457956532586763   -63.9576190716609290
  7.50   441.3264141868951924   -63.9308194556972751
  8.00   406.2980862093739916   -63.8358614417554833
  8.50   440.2015105329315361   -63.8969479903919222
  9.00   479.1743534031544414   -63.9520609903778592
  9.50   423.7263292762188485   -63.7808472992287534
 10.00   415.8272982475162394   -63.8819625634355361
 10.50   416.6815057153935413   -63.8971227011669427
 11.00   426.9631589847657551   -63.9998002410539044
 11.50   442.5396332116334861   -63.8949449844052495
 12.00   414.6098821300262784   -63.9349616035096631
 12.50   421.1077596510638159   -63.8978725416277058
 13.00   421.7592437188345116   -63.8712356997531856
 13.50   434.7131150165748750   -63.9915065178776814
