  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   452.5830125450974606   -63.9623794151324034
  1.00   455.4155142736647690   -64.0519327156820992
  1.50   461.1483931406800707   -63.8891681016419639
  2.00   416.5699294272876045   -63.8376635408899133
  2.50   427.7048881559251186   -63.8880992167634503
  3.00   441.9920170526723382   -63.8973590352193099
  3.50   428.1769307135326699   -63.9409202104686614
  4.00   425.3185044718313748   -63.9512061527333913
  4.50   413.8921641547700574   -63.7280096280606188
  5.00   432.9980277815928957   -63.8680655613329904
  5.50   422.2580327288900435   -63.8883430789262405
  6.00   427.9071626303136213   -63.8473022039820322
  6.50   398.6471120951274543   -63.8339217820239000
  7.00   430.3066366573655728   -63.9278239847830179
  7.50   418.1172407409786160   -63.7689820343261786
  8.00   427.5826871487795984   -63.9275580557629226
  8.50   436.6527616258129001   -63.9569840273730961
  9.00   426.4327106940274916   -63.8588491467386916
  9.50   424.9325567575721720   -63.8325350491900210
 10.00   423.6958366652723953   -63.8771007933943338
 10.50   434.0214724897240330   -63.9247619913863190
 11.00   418.1384329624920042   -63.8794853669285914
 11.50   426.8491258872002732   -63.9059474721377114
 12.00   414.2146704748929551   -63.8372038774077808
 12.50   422.8076563884336565   -63.9049272593081099
 13.00   421.6391930371624426   -63.9372753527958011
 13.50   423.2326059336608637   -63.9120776498586167
