  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   459.2203664132162544   -63.9868564789840093
  1.00   445.3866275563502199   -63.9855809097921977
  1.50   464.7767367376598600   -63.9263006107088074
  2.00   432.4826240036393301   -63.9267611123587045
  2.50   432.8996420476285039   -63.9032283020325309
  3.00   374.4757315933082964   -63.9093500228497646
  3.50   461.8186787841564183   -63.9462752006564727
  4.00   423.3349398140021549   -63.9334074158018240
  4.50   411.7157362879381708   -63.8548697498076621
  5.00   421.6060882426890544   -63.9248380839050938
  5.50   423.6114342114914280   -63.8737884583217763
  6.00   423.0271388726763462   -63.8192229412512262
  6.50   425.8753586226462176   -63.9048182985341668
  7.00   414.9210927705001950   -63.8303666087093546
  7.50   407.8708376879200159   -63.8485213672925909
  8.00   417.6697511580849209   -63.7870517199988569
  8.50   418.4279349342697287   -63.7861206026993699
  9.00   422.5108405602894095   -63.9736438611878242
  9.50   411.2019054935969393   -63.8450427276100640
 10.00   419.9440671809741161   -63.8907301474932581
 10.50   425.8248722712741028   -63.9851151084618834
 11.00   410.9607722990015191   -63.8253900697197167
 11.50   427.2177945397356211   -63.9286857985459349
 12.00   443.1732550320865016   -64.0012638226972257
 12.50   440.7059433228843659   -63.8360599121832379
 13.00   397.6783313049112962   -63.8429143851052103
 13.50   412.3752728888546244   -63.8682321736355618
