  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   452.5394404201272209   -63.8976483581721340
  1.00   454.3905232101419074   -64.0632987114836681
  1.50   438.2997132893335106   -63.8279586720674530
  2.00   414.2285016977629653   -63.8242897599825554
  2.50   437.8407096258187039   -63.9036135076985232
  3.00   441.6600003318898189   -63.9031163599677328
  3.50   435.0655379329352854   -63.9271102101320636
  4.00   451.9680610244822674   -63.9334484942184105
  4.50   445.2639082552244076   -63.8213236058160334
  5.00   426.8659019775158754   -63.8954007073974282
  5.50   449.2037493839125091   -63.9890927836458872
  6.00   497.7832517556379344   -63.8932535946462110
  6.50   411.4885197654058402   -63.9094066945227723
  7.00   430.0238862853506134   -63.8282027840507453
  7.50   409.7498534738977014   -63.7800708983699707
  8.00   420.6702268057177889   -63.8896036811034236
  8.50   414.1361883412107545   -63.9283137580183194
  9.00   486.8323561243477116   -63.9726060017559632
  9.50   435.7730326761743527   -63.9630955783428305
 10.00   415.5612935665333794   -63.8400272115001570
 10.50   409.6932401038340004   -63.8994429340614403
 11.00   423.7974644657685417   -63.9102007901855700
 11.50   403.4915814931586624   -63.9034066545271600
 12.00   422.4974279655763212   -63.8982880309104431
 12.50   431.5883391446048449   -64.0393007454576804
 13.00   423.0781929630694549   -63.9711175816350703
 13.50   423.2394645701756417   -63.8655787730261650
