  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50  5607.1031410739233252   -63.9670415647913444
  1.00  5587.2148302555187911   -63.9436170210452275
  1.50  5416.2004230221118632   -63.8980895375544122
  2.00  5556.3929616970108327   -63.9300620780369115
  2.50  6062.8482728916769702   -63.9001579451834800
  3.00  5303.5335587687814041   -63.8924067218266600
  3.50  5366.3818794102735410   -63.9328536243533421
  4.00  5396.8451179888988918   -63.9332491445332209
  4.50  5396.8744000013102777   -63.9178632992996967
  5.00  5433.7180209513408045   -63.9158337754388839
  5.50  5367.6032097769239044   -63.9263468241453694
  6.00  5889.9365396445100487   -63.9058546801335012
  6.50  5258.1001153845800218   -63.8954762818161015
  7.00  5270.8096182594363199   -63.9160742537063129
  7.50  5334.6472980691269186   -63.9164140058428103
  8.00  5814.4659922212695164   -63.9210081470008333
  8.50  5306.9455327930936619   -63.9230214583487140
  9.00  5257.5038760459410696   -63.9379897436743079
  9.50  5254.4162077045475598   -63.9165295161065785
 10.00  5276.3084284118667711   -63.9196381827438671
 10.50  5254.4195657027876223   -63.9008047879064094
 11.00  5828.6872117657030685   -63.8897753322130342
 11.50  5256.1657988676070090   -63.9315974527536923
 12.00  5162.3471584131766576   -63.9297474563809800
 12.50  5272.8587617074426817   -63.9175898725655571
 13.00  5744.6847952985644952   -63.9135106332376637
 13.50  5740.2435973960327829   -63.9425937019099848
