  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   439.3408123099012528   -63.9261427686920030
  1.00   457.0183143367165712   -64.0419083774667683
  1.50   450.1948368552481270   -63.8988361210564690
  2.00   429.6957579087614931   -63.9154133627100123
  2.50   436.2034876846249745   -63.8224961761328515
  3.00   447.2627568818960526   -63.8724664671933553
  3.50   449.4893254312311228   -63.9312083511710654
  4.00   446.5150198004898812   -63.8565545191431383
  4.50   429.9869299752659231   -63.8809567338599535
  5.00   432.6100884531064708   -63.9162308688047744
  5.50   429.1449693818223068   -63.8233700409677667
  6.00   440.7136635676796459   -63.9035566905732964
  6.50   422.0628339508921272   -63.7853593952121685
  7.00   425.4701631105198771   -63.8946012255570253
  7.50   422.4499348029860357   -63.8109415312767396
  8.00   425.3081864003829651   -63.8435042693002615
  8.50   422.7220420756620456   -63.8670786957676313
  9.00   427.5503299633026018   -63.8012442710909227
  9.50   406.5762574564766965   -63.8319130100085701
 10.00   437.7559245186477028   -63.9410771051460145
 10.50   440.9259508796118894   -63.9428831864833214
 11.00   413.2324613629010059   -63.8944887136028683
 11.50   477.3371984054735435   -63.8862471715717533
 12.00   447.9215542513014725   -63.8965781725059969
 12.50   481.5837155176070610   -63.8239813846855881
 13.00   485.0940674992958179   -64.0300146993687065
 13.50   416.1487362508108845   -63.8868279827907344
