  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   450.6345236733527599   -63.9526770220532725
  1.00   503.6165626323191873   -63.9738976341348717
  1.50   493.2997792805445556   -63.9563977982636516
  2.00   441.3512285564419244   -63.9079460060702260
  2.50   427.4551160383284127   -63.8990618280661877
  3.00   438.0795061606233958   -63.9099485365791011
  3.50   444.9786660880928935   -63.9212889316067248
  4.00   429.7466478092540001   -63.9034658309874288
  4.50   452.1444314184988116   -63.9085445738581939
  5.00   419.2501951358963765   -63.9779753950442824
  5.50   428.5940778542233716   -63.8802954318737477
  6.00   399.5822698720993458   -63.8161683958140031
  6.50   425.2745127570727846   -63.8872737257397389
  7.00   443.3512512108783312   -63.8996072947637686
  7.50   416.5640848741091986   -63.9325732084594378
  8.00   448.9286693693348411   -63.9158590239202624
  8.50   440.6533451957892566   -63.9722299419979805
  9.00   433.6507118727035959   -63.9185390685738781
  9.50   441.1637575955631974   -63.9300208066743991
 10.00   428.4772209767796767   -63.9021771953362787
 10.50   474.4739055638139575   -63.9057984744394076
 11.00   420.0633699786408215   -63.9036887836751930
 11.50   430.4466248996929494   -63.9399324648186038
 12.00   410.8581246481584799   -63.8604885532247266
 12.50   475.8802820508701075   -64.0081843968474260
 13.00   459.0700746677378561   -63.8595012418283545
 13.50   396.2223861029702334   -63.8777788723568491
