  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   457.4085535203445261   -63.9277440174404958
  1.00   421.4554409488526971   -63.9584771847053659
  1.50   454.3893755901455620   -63.9509582619650701
  2.00   439.5965871776335803   -63.9694694757360907
  2.50   452.3079495218635202   -63.9920441571369452
  3.00   439.2844448138225744   -63.9931396920369622
  3.50   446.6654816400726418   -63.9477554002079600
  4.00   438.8363046915189329   -63.9580404357614114
  4.50   427.3116145089820748   -63.9683382450460414
  5.00   418.3253393161583062   -63.8917144568571160
  5.50   438.1126339600386927   -63.9269816224952336
  6.00   411.2399485782152624   -63.8703111030462054
  6.50   423.8176213295785146   -63.9930176488709606
  7.00   493.7052864055408463   -63.9652048137547453
  7.50   478.9505064965822498   -63.8890507242417272
  8.00   456.0725313010711943   -63.9537186608421990
  8.50   420.7644000237746127   -63.9946857122193649
  9.00   433.6976006613457457   -63.9341295656955850
  9.50   412.4381838339272690   -63.8948273046393069
 10.00   413.8551889962577093   -63.9403732380388732
 10.50   470.9796426267918150   -63.9008314275237836
 11.00   410.9764321256587891   -63.9303130846197263
 11.50   427.1779935384786882   -63.8453107247540856
 12.00   415.7282225995459157   -63.9073982046317042
 12.50   470.3199179206402505   -63.8487778066922687
 13.00   465.9605074241718512   -63.8990046202266839
 13.50   464.4816595691847851   -63.9430255622074668
