  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50  5617.7089930008805823   -63.9823079101761323
  1.00  5561.4700015402513600   -63.9178144771469761
  1.50  5453.5507146703384933   -63.9130994513480886
  2.00  6094.0780214681562938   -63.9444771916879091
  2.50  5405.3422393616556292   -63.9041052784791788
  3.00  5398.5654771256185995   -63.8999311997981891
  3.50  5383.3100739534111199   -63.9142225805505433
  4.00  5388.4936569589226565   -63.9234918904304408
  4.50  5934.5403084794288588   -63.9172947948014922
  5.00  5357.3075020509249953   -63.9054032721541745
  5.50  5324.0562474709149683   -63.9093749951180996
  6.00  5920.5088372382451780   -63.9360126958620043
  6.50  5263.7519097330787190   -63.9063078660444717
  7.00  5320.2831131247048688   -63.9090801868745331
  7.50  5266.4588921445047163   -63.8874814540400990
  8.00  5389.5596592678912202   -63.9420813267274468
  8.50  5251.6085178039384118   -63.9207688433700554
  9.00  5312.5159550556627437   -63.9263880922441956
  9.50  5796.6446015708443156   -63.9201091683419662
 10.00  5202.3242849922207824   -63.9283390920294750
 10.50  5342.6003109077710178   -63.9345978849859904
 11.00  5270.1191822014598074   -63.9244727044914356
 11.50  5791.1054493359606568   -63.8866086726318940
 12.00  5728.0730739187920335   -63.9190711693697438
 12.50  5168.7722892207539189   -63.8844894768917584
 13.00  5149.8309699635592551   -63.8966777995923678
 13.50  5290.5358532108893996   -63.9411337547121263
