  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50  5537.4437763151327090   -63.9290023521509880
  1.00  5549.7792244663560268   -63.9301577915727535
  1.50  6097.9301814294622091   -63.9460360092569005
  2.00  5332.8272486020214274   -63.9072958010884378
  2.50  5450.9821720641193679   -63.8995650393269301
  3.00  5452.9933363805557747   -63.9153320213981146
  3.50  5859.4693654724942462   -63.9153072133794637
  4.00  5327.8938408055346372   -63.9228467268567755
  4.50  5318.0513596700775452   -63.9133792467393960
  5.00  5366.1082642130741078   -63.9071734089905306
  5.50  5370.8202788259268345   -63.8993275348520910
  6.00  5259.2460680569838587   -63.9099312708416250
  6.50  5860.9700973632916430   -63.9012461120251203
  7.00  5145.7261110562658359   -63.9090478154228805
  7.50  5268.4798261680516589   -63.9355972535200436
  8.00  5281.9046304528164910   -63.9132970274890653
  8.50  5785.7869907869589952   -63.9086563801882619
  9.00  5143.7137253452192454   -63.9129270726841412
  9.50  5317.7751878385479358   -63.9250313970669879
 10.00  5217.8611486618228810   -63.9116440185213150
 10.50  5693.1796580128402638   -63.9058854226661026
 11.00  5172.3558323074903456   -63.9058294721995850
 11.50  5198.9342146443395904   -63.8853107836370100
 12.00  5750.4019175686535164   -63.8981210427210442
 12.50  5198.5949073207020774   -63.9137179620163636
 13.00  5772.9343228765756066   -63.9290942053066686
 13.50  5721.0874435335736052   -63.9177374434122783
