  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   439.8787364790094330   -63.8175500431705558
  1.00   445.6704144407880221   -64.0309464575340996
  1.50   448.7559877114349547   -63.8858194790466385
  2.00   431.7673396619996993   -63.8844362539896267
  2.50   420.6892029946039884   -63.8459599425068376
  3.00   503.8363873626208260   -63.9538824059290292
  3.50   472.9242478909355896   -63.9059425619710737
  4.00   500.9517136907707595   -63.9786909037267932
  4.50   434.0396512397686024   -63.8828345680260981
  5.00   462.7842564504396705   -63.7567429190662907
  5.50   468.3108591765526398   -63.9113863096282131
  6.00   454.5580137353879309   -63.9357507877791988
  6.50   435.8868258731541232   -63.9059783907018044
  7.00   481.6053868050645974   -63.8481393337619991
  7.50   415.6649479778398586   -63.9282967560105106
  8.00   431.5693870583855301   -63.8802785763068925
  8.50   426.6086496679354809   -63.9595156361108366
  9.00   437.1382290866723679   -63.9523472168873326
  9.50   418.5359598349529620   -63.8470122804828151
 10.00   431.0021175796128432   -63.9241754465219003
 10.50   438.4338178539539967   -63.9832871605950260
 11.00   439.0158143007051876   -63.9432663173798375
 11.50   465.1367583556021827   -64.0331053197635924
 12.00   488.8219876792726382   -64.1199750626516192
 12.50   412.6911950862311755   -63.9675132434564233
 13.00   423.7348240335530818   -63.9389878320232157
 13.50   441.0512091796507548   -63.8718331943990165
