  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50  5605.6946727373360773   -63.9629245535721509
  1.00  5563.9981572100987250   -63.9087224229679691
  1.50  6034.9642569812385773   -63.9039864259898707
  2.00  5462.3238274521127096   -63.9403727273161735
  2.50  5530.0741406775250653   -63.9201040622672423
  3.00  5373.3759999041612900   -63.9277629695446592
  3.50  5422.8466845634138735   -63.9219908340318881
  4.00  5454.9883084169550784   -63.9499093778889147
  4.50  5496.8261741482565412   -63.9492568506009320
  5.00  5418.9653716942102619   -63.9132982247808172
  5.50  5901.2615262074177735   -63.9415179896515156
  6.00  5242.2744762726160843   -63.9225467405941146
  6.50  5350.7481044636624574   -63.9154718092680696
  7.00  5293.6762102728116588   -63.9323337481670677
  7.50  5326.8582418678415706   -63.9395715618813227
  8.00  5760.8567017585028225   -63.9221348652659174
  8.50  5151.4588086513322196   -63.8929298719144612
  9.00  5273.2439422615552758   -63.9301994351924066
  9.50  5246.3942818572786564   -63.9233196970696724
 10.00  5228.5039811463511796   -63.9536936099053861
 10.50  5266.1989748349733418   -63.9119010680684028
 11.00  5224.4722777860843053   -63.9000666035837099
 11.50  5733.3220264004421551   -63.8988501748294482
 12.00  5086.1378185062758348   -63.8942287758684415
 12.50  5664.7166300974167825   -63.9101221687541710
 13.00  5138.4448342433406651   -63.9030507072558009
 13.50  5244.9846949433849659   -63.9619454906615772
